time_period,region_name,characteristic_sex,sub_name_comb,num_maths_science,num_entered_comb_and_no_other_matsci,perc_entered_comb_and_no_other_matsci 
2023 to 24,London,All,Maths & Biology & Physics,3,216,0.461
2023 to 24,North West,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2023 to 24,Yorkshire and The Humber,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2023 to 24,North East,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2023 to 24,West Midlands,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2023 to 24,East of England,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,1,0.003
2023 to 24,East Midlands,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2023 to 24,South West,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2023 to 24,South East,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2023 to 24,London,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2023 to 24,North West,Female,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,Yorkshire and The Humber,Female,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,North East,Female,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,West Midlands,Female,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,East of England,Female,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,East Midlands,Female,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,South West,Female,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,South East,Female,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,London,Female,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,North West,Male,Maths & Biology & Physics,3,85,0.596
2023 to 24,Yorkshire and The Humber,Male,Maths & Biology & Physics,3,52,0.523
2023 to 24,North East,Male,Maths & Biology & Physics,3,36,0.853
2023 to 24,West Midlands,Male,Maths & Biology & Physics,3,102,0.893
2023 to 24,East of England,Male,Maths & Biology & Physics,3,70,0.505
2023 to 24,East Midlands,Male,Maths & Biology & Physics,3,70,0.8
2023 to 24,South West,Male,Maths & Biology & Physics,3,91,0.899
2023 to 24,South East,Male,Maths & Biology & Physics,3,157,0.709
2023 to 24,London,Male,Maths & Biology & Physics,3,154,0.719
2023 to 24,North West,Male,Maths & Further Maths & Biology & Chemistry & Physics,5,2,0.014
2023 to 24,Yorkshire and The Humber,Male,Maths & Further Maths & Biology & Chemistry & Physics,5,0,0.0
2023 to 24,North East,Male,Maths & Further Maths & Biology & Chemistry & Physics,5,1,0.024
2023 to 24,West Midlands,Male,Maths & Further Maths & Biology & Chemistry & Physics,5,2,0.018
2023 to 24,East of England,Male,Maths & Further Maths & Biology & Chemistry & Physics,5,0,0.0
2023 to 24,East Midlands,Male,Maths & Further Maths & Biology & Chemistry & Physics,5,1,0.011
2023 to 24,South West,Male,Maths & Further Maths & Biology & Chemistry & Physics,5,1,0.01
2023 to 24,South East,Male,Maths & Further Maths & Biology & Chemistry & Physics,5,2,0.009
2023 to 24,London,Male,Maths & Further Maths & Biology & Chemistry & Physics,5,3,0.014
2023 to 24,North West,All,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,Yorkshire and The Humber,All,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,North East,All,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,West Midlands,All,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,East of England,All,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,East Midlands,All,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,South West,All,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,South East,All,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,London,All,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,North West,Female,Further Maths & Biology,2,0,0.0
2023 to 24,Yorkshire and The Humber,Female,Further Maths & Biology,2,1,0.008
2023 to 24,North East,Female,Further Maths & Biology,2,0,0.0
2023 to 24,West Midlands,Female,Further Maths & Biology,2,0,0.0
2023 to 24,East of England,Female,Further Maths & Biology,2,0,0.0
2023 to 24,East Midlands,Female,Further Maths & Biology,2,0,0.0
2023 to 24,South West,Female,Further Maths & Biology,2,0,0.0
2023 to 24,South East,Female,Further Maths & Biology,2,0,0.0
2023 to 24,London,Female,Further Maths & Biology,2,0,0.0
2023 to 24,North West,Male,Biology & Chemistry & Computer Science,3,30,0.21
2023 to 24,Yorkshire and The Humber,Male,Biology & Chemistry & Computer Science,3,7,0.07
2023 to 24,North East,Male,Biology & Chemistry & Computer Science,3,11,0.261
2023 to 24,West Midlands,Male,Biology & Chemistry & Computer Science,3,22,0.193
2023 to 24,East of England,Male,Biology & Chemistry & Computer Science,3,27,0.195
2023 to 24,East Midlands,Male,Biology & Chemistry & Computer Science,3,14,0.16
2023 to 24,South West,Male,Biology & Chemistry & Computer Science,3,12,0.119
2023 to 24,South East,Male,Biology & Chemistry & Computer Science,3,26,0.117
2023 to 24,London,Male,Biology & Chemistry & Computer Science,3,32,0.149
2023 to 24,North West,Male,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,Yorkshire and The Humber,Male,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,North East,Male,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,West Midlands,Male,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,East of England,Male,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,East Midlands,Male,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,South West,Male,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,South East,Male,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,London,Male,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2023 to 24,North West,All,Maths & Further Maths & Chemistry & Physics & Computer Science,5,2,0.006
2023 to 24,Yorkshire and The Humber,All,Maths & Further Maths & Chemistry & Physics & Computer Science,5,0,0.0
2023 to 24,North East,All,Maths & Further Maths & Chemistry & Physics & Computer Science,5,0,0.0
2023 to 24,West Midlands,All,Maths & Further Maths & Chemistry & Physics & Computer Science,5,2,0.008
2023 to 24,East of England,All,Maths & Further Maths & Chemistry & Physics & Computer Science,5,3,0.01
2023 to 24,East Midlands,All,Maths & Further Maths & Chemistry & Physics & Computer Science,5,1,0.005
2023 to 24,South West,All,Maths & Further Maths & Chemistry & Physics & Computer Science,5,2,0.009
2023 to 24,South East,All,Maths & Further Maths & Chemistry & Physics & Computer Science,5,0,0.0
2023 to 24,London,All,Maths & Further Maths & Chemistry & Physics & Computer Science,5,1,0.002
2023 to 24,North West,Female,Maths & Chemistry & Computer Science,3,15,0.084
2023 to 24,Yorkshire and The Humber,Female,Maths & Chemistry & Computer Science,3,11,0.086
2023 to 24,North East,Female,Maths & Chemistry & Computer Science,3,3,0.055
2023 to 24,West Midlands,Female,Maths & Chemistry & Computer Science,3,17,0.115
2023 to 24,East of England,Female,Maths & Chemistry & Computer Science,3,17,0.103
2023 to 24,East Midlands,Female,Maths & Chemistry & Computer Science,3,8,0.072
2023 to 24,South West,Female,Maths & Chemistry & Computer Science,3,4,0.033
2023 to 24,South East,Female,Maths & Chemistry & Computer Science,3,15,0.059
2023 to 24,London,Female,Maths & Chemistry & Computer Science,3,22,0.086
2023 to 24,North West,Male,Further Maths & Biology & Physics & Computer Science,4,0,0.0
2023 to 24,Yorkshire and The Humber,Male,Further Maths & Biology & Physics & Computer Science,4,0,0.0
2023 to 24,North East,Male,Further Maths & Biology & Physics & Computer Science,4,0,0.0
2023 to 24,West Midlands,Male,Further Maths & Biology & Physics & Computer Science,4,0,0.0
2023 to 24,East of England,Male,Further Maths & Biology & Physics & Computer Science,4,0,0.0
2023 to 24,East Midlands,Male,Further Maths & Biology & Physics & Computer Science,4,0,0.0
2023 to 24,South West,Male,Further Maths & Biology & Physics & Computer Science,4,0,0.0
2023 to 24,South East,Male,Further Maths & Biology & Physics & Computer Science,4,0,0.0
2023 to 24,London,Male,Further Maths & Biology & Physics & Computer Science,4,0,0.0
2023 to 24,North West,Male,Maths & Further Maths & Chemistry & Physics & Computer Science,5,2,0.014
2023 to 24,Yorkshire and The Humber,Male,Maths & Further Maths & Chemistry & Physics & Computer Science,5,0,0.0
2023 to 24,North East,Male,Maths & Further Maths & Chemistry & Physics & Computer Science,5,0,0.0
2023 to 24,West Midlands,Male,Maths & Further Maths & Chemistry & Physics & Computer Science,5,2,0.018
2023 to 24,East of England,Male,Maths & Further Maths & Chemistry & Physics & Computer Science,5,2,0.014
2023 to 24,East Midlands,Male,Maths & Further Maths & Chemistry & Physics & Computer Science,5,1,0.011
2023 to 24,South West,Male,Maths & Further Maths & Chemistry & Physics & Computer Science,5,2,0.02
2023 to 24,South East,Male,Maths & Further Maths & Chemistry & Physics & Computer Science,5,0,0.0
2023 to 24,London,Male,Maths & Further Maths & Chemistry & Physics & Computer Science,5,1,0.005
2023 to 24,North West,All,Further Maths & Biology,2,0,0.0
2023 to 24,Yorkshire and The Humber,All,Further Maths & Biology,2,1,0.004
2023 to 24,North East,All,Further Maths & Biology,2,0,0.0
2023 to 24,West Midlands,All,Further Maths & Biology,2,0,0.0
2023 to 24,East of England,All,Further Maths & Biology,2,0,0.0
2023 to 24,East Midlands,All,Further Maths & Biology,2,0,0.0
2023 to 24,South West,All,Further Maths & Biology,2,0,0.0
2023 to 24,South East,All,Further Maths & Biology,2,0,0.0
2023 to 24,London,All,Further Maths & Biology,2,0,0.0
2023 to 24,North West,All,Maths & Further Maths & Biology & Chemistry & Physics,5,2,0.006
2023 to 24,Yorkshire and The Humber,All,Maths & Further Maths & Biology & Chemistry & Physics,5,0,0.0
2023 to 24,North East,All,Maths & Further Maths & Biology & Chemistry & Physics,5,1,0.01
2023 to 24,West Midlands,All,Maths & Further Maths & Biology & Chemistry & Physics,5,4,0.015
2023 to 24,East of England,All,Maths & Further Maths & Biology & Chemistry & Physics,5,0,0.0
2023 to 24,East Midlands,All,Maths & Further Maths & Biology & Chemistry & Physics,5,1,0.005
2023 to 24,South West,All,Maths & Further Maths & Biology & Chemistry & Physics,5,5,0.022
2023 to 24,South East,All,Maths & Further Maths & Biology & Chemistry & Physics,5,2,0.004
2023 to 24,London,All,Maths & Further Maths & Biology & Chemistry & Physics,5,5,0.011
2023 to 24,North West,Female,Maths & Further Maths & Chemistry & Physics & Computer Science,5,0,0.0
2023 to 24,Yorkshire and The Humber,Female,Maths & Further Maths & Chemistry & Physics & Computer Science,5,0,0.0
2023 to 24,North East,Female,Maths & Further Maths & Chemistry & Physics & Computer Science,5,0,0.0
2023 to 24,West Midlands,Female,Maths & Further Maths & Chemistry & Physics & Computer Science,5,0,0.0
2023 to 24,East of England,Female,Maths & Further Maths & Chemistry & Physics & Computer Science,5,1,0.006
2023 to 24,East Midlands,Female,Maths & Further Maths & Chemistry & Physics & Computer Science,5,0,0.0
2023 to 24,South West,Female,Maths & Further Maths & Chemistry & Physics & Computer Science,5,0,0.0
2023 to 24,South East,Female,Maths & Further Maths & Chemistry & Physics & Computer Science,5,0,0.0
2023 to 24,London,Female,Maths & Further Maths & Chemistry & Physics & Computer Science,5,0,0.0
2023 to 24,North West,Male,Further Maths & Biology,2,0,0.0
2023 to 24,Yorkshire and The Humber,Male,Further Maths & Biology,2,0,0.0
2023 to 24,North East,Male,Further Maths & Biology,2,0,0.0
2023 to 24,West Midlands,Male,Further Maths & Biology,2,0,0.0
2023 to 24,East of England,Male,Further Maths & Biology,2,0,0.0
2023 to 24,East Midlands,Male,Further Maths & Biology,2,0,0.0
2023 to 24,South West,Male,Further Maths & Biology,2,0,0.0
2023 to 24,South East,Male,Further Maths & Biology,2,0,0.0
2023 to 24,London,Male,Further Maths & Biology,2,0,0.0
2023 to 24,North West,All,Biology & Chemistry & Computer Science,3,43,0.134
2023 to 24,Yorkshire and The Humber,All,Biology & Chemistry & Computer Science,3,13,0.057
2023 to 24,North East,All,Biology & Chemistry & Computer Science,3,13,0.135
2023 to 24,West Midlands,All,Biology & Chemistry & Computer Science,3,34,0.13
